symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2023-03-17 16:05:00+00:00,1719.06,1720.26,1718.19,1718.72,15.0478,23.0,1719.399317774
ETH/USD,2023-03-17 16:06:00+00:00,1718.79,1719.54,1717.1,1719.13,10.7779,26.0,1717.5245976489
ETH/USD,2023-03-17 16:07:00+00:00,1718.24,1720.22,1717.73,1719.56,27.8477,34.0,1719.1625902678
ETH/USD,2023-03-17 16:08:00+00:00,1719.13,1720.83,1719.13,1720.53,6.0975,32.0,1720.0471275113
ETH/USD,2023-03-17 16:09:00+00:00,1720.96,1722.22,1720.55,1721.66,11.155,38.0,1721.7888654415
ETH/USD,2023-03-17 16:10:00+00:00,1721.57,1722.01,1721.13,1721.9,21.0857,37.0,1721.753159345
ETH/USD,2023-03-17 16:11:00+00:00,1721.9,1721.94,1718.7,1719.59,44.6655,44.0,1720.3587310788
ETH/USD,2023-03-17 16:12:00+00:00,1720.09,1722.47,1720.08,1722.06,44.4502,44.0,1720.6708498499
ETH/USD,2023-03-17 16:13:00+00:00,1722.11,1724.59,1721.76,1724.59,11.5763,51.0,1722.9093715609
ETH/USD,2023-03-17 16:14:00+00:00,1724.16,1725.65,1723.21,1723.72,20.3009,54.0,1724.7219483865
ETH/USD,2023-03-17 16:15:00+00:00,1724.42,1724.42,1721.92,1721.92,12.9493,24.0,1722.4364411204
ETH/USD,2023-03-17 16:16:00+00:00,1721.69,1723.28,1721.69,1722.71,14.959,22.0,1722.1078931747
ETH/USD,2023-03-17 16:17:00+00:00,1721.89,1724.37,1721.86,1722.73,48.5194,29.0,1722.3245919158
ETH/USD,2023-03-17 16:18:00+00:00,1722.65,1723.0,1721.79,1722.33,10.53,25.0,1722.3620838557
ETH/USD,2023-03-17 16:19:00+00:00,1722.12,1722.57,1721.51,1722.01,20.4432,28.0,1721.863286374
ETH/USD,2023-03-17 16:20:00+00:00,1721.74,1724.64,1721.72,1722.11,29.4451,42.0,1722.9170140703
ETH/USD,2023-03-17 16:21:00+00:00,1722.07,1722.26,1719.14,1719.57,22.2009,53.0,1720.5805958317
ETH/USD,2023-03-17 16:22:00+00:00,1719.39,1719.39,1718.28,1718.8,12.8086,34.0,1718.4949121684
ETH/USD,2023-03-17 16:23:00+00:00,1719.27,1719.56,1717.32,1718.22,23.256,41.0,1718.2133071895
ETH/USD,2023-03-17 16:24:00+00:00,1718.86,1718.86,1718.03,1718.28,0.796,7.0,1718.5881959799
ETH/USD,2023-03-17 16:25:00+00:00,1717.91,1719.1,1716.78,1718.8,18.7689,36.0,1717.651169328
ETH/USD,2023-03-17 16:26:00+00:00,1718.43,1719.84,1718.3,1719.55,19.421,31.0,1719.1349657072
ETH/USD,2023-03-17 16:27:00+00:00,1719.27,1721.01,1719.15,1719.15,10.8182,19.0,1720.2048245549
ETH/USD,2023-03-17 16:28:00+00:00,1719.43,1720.43,1719.43,1720.43,0.6232,3.0,1719.4693774069
ETH/USD,2023-03-17 16:29:00+00:00,1720.66,1722.01,1720.66,1720.71,4.9364,14.0,1721.135788834
ETH/USD,2023-03-17 16:30:00+00:00,1721.39,1723.22,1720.5,1723.22,17.8879,31.0,1721.516571649
ETH/USD,2023-03-17 16:31:00+00:00,1723.04,1724.71,1723.04,1723.33,48.941,56.0,1723.9493541203
ETH/USD,2023-03-17 16:32:00+00:00,1723.29,1723.94,1720.94,1722.12,30.327,61.0,1722.8705458502
ETH/USD,2023-03-17 16:33:00+00:00,1721.74,1721.74,1720.02,1720.27,14.8598,28.0,1720.6378735918
ETH/USD,2023-03-17 16:34:00+00:00,1720.17,1720.25,1718.6,1719.27,32.3526,58.0,1719.4327337525
ETH/USD,2023-03-17 16:35:00+00:00,1719.18,1719.18,1716.74,1717.07,33.0592,70.0,1717.8979867631
ETH/USD,2023-03-17 16:36:00+00:00,1717.96,1718.74,1717.22,1717.75,15.0039,30.0,1717.8483169043
ETH/USD,2023-03-17 16:37:00+00:00,1717.81,1717.81,1714.98,1715.33,27.0525,56.0,1716.1065690417
ETH/USD,2023-03-17 16:38:00+00:00,1715.66,1716.51,1714.73,1716.51,13.7625,31.0,1715.2337972025
ETH/USD,2023-03-17 16:39:00+00:00,1715.08,1715.88,1713.77,1714.45,5.9595,28.0,1715.1958739827
ETH/USD,2023-03-17 16:40:00+00:00,1714.3,1715.43,1713.22,1715.43,16.5766,31.0,1714.3162596672
ETH/USD,2023-03-17 16:41:00+00:00,1715.73,1716.48,1714.68,1714.83,10.0003,29.0,1715.6024578263
ETH/USD,2023-03-17 16:42:00+00:00,1714.84,1715.68,1714.84,1715.68,16.6833,26.0,1715.3177207747
ETH/USD,2023-03-17 16:43:00+00:00,1715.48,1718.1,1715.2,1717.0,24.6605,50.0,1716.8304669816
ETH/USD,2023-03-17 16:44:00+00:00,1717.15,1717.8,1716.47,1717.8,18.1773,33.0,1717.051058353
ETH/USD,2023-03-17 16:45:00+00:00,1717.62,1718.11,1716.55,1717.68,13.5163,32.0,1717.4264252051
ETH/USD,2023-03-17 16:46:00+00:00,1717.13,1717.86,1715.07,1715.07,16.3484,22.0,1717.0370374471
ETH/USD,2023-03-17 16:47:00+00:00,1715.11,1717.66,1715.04,1717.66,26.4095,45.0,1716.6714026771
ETH/USD,2023-03-17 16:48:00+00:00,1717.66,1718.04,1716.84,1717.63,17.1513,28.0,1717.6222633853
ETH/USD,2023-03-17 16:49:00+00:00,1717.57,1718.0,1717.2,1717.63,8.0194,15.0,1717.5642548071
ETH/USD,2023-03-17 16:50:00+00:00,1717.6,1720.0,1717.6,1719.28,27.1482,47.0,1719.0889654194
ETH/USD,2023-03-17 16:51:00+00:00,1719.62,1720.39,1718.38,1718.68,27.5572,39.0,1719.7011608219
ETH/USD,2023-03-17 16:52:00+00:00,1718.11,1718.59,1717.1,1718.31,12.3658,24.0,1717.8129275906
ETH/USD,2023-03-17 16:53:00+00:00,1718.27,1718.32,1716.29,1716.29,32.5821,44.0,1717.3737924811
ETH/USD,2023-03-17 16:54:00+00:00,1716.21,1716.21,1713.68,1714.01,53.5886,90.0,1714.7949517435
ETH/USD,2023-03-17 16:55:00+00:00,1713.96,1716.21,1713.78,1715.91,18.5494,34.0,1714.767274521
ETH/USD,2023-03-17 16:56:00+00:00,1716.38,1717.77,1716.01,1716.37,17.0898,29.0,1717.2664915915
ETH/USD,2023-03-17 16:57:00+00:00,1716.48,1717.75,1716.48,1717.75,14.0307,23.0,1717.1198842538
ETH/USD,2023-03-17 16:58:00+00:00,1716.56,1717.38,1716.56,1717.38,7.1821,7.0,1716.7859905877
ETH/USD,2023-03-17 16:59:00+00:00,1716.59,1716.59,1715.39,1715.39,8.2273,9.0,1716.3033765634
ETH/USD,2023-03-17 17:00:00+00:00,1715.6,1716.96,1715.6,1716.96,9.8283,14.0,1715.9762776879
