datetime,open,high,low,close,volume
2022-10-19,141.69,144.9492,141.5,143.86,61758000.0
2022-10-20,143.02,145.89,142.64999,143.39,64522000.0
2022-10-21,142.87,147.8479,142.649,147.27,86549000.0
2022-10-24,147.185,150.23,146.0,149.45,75982000.0
2022-10-25,150.09,152.49001,149.36,152.34,74732000.0
2022-10-26,150.96001,151.99001,148.03999,149.35001,88436000.0
2022-10-27,148.07001,149.04601,144.13,144.8,109180000.0
2022-10-28,148.2,157.5,147.82001,155.74001,164762000.0
2022-10-31,153.155,154.24001,151.92,153.34,97943000.0
2022-11-01,155.08,155.45,149.13,150.64999,80379000.0
2022-11-02,148.94501,152.17,145.0,145.03,93605000.0
2022-11-03,142.06,142.8,138.75,138.88,97919000.0
2022-11-04,142.09,142.67,134.38,138.38,140815008.0
2022-11-07,137.11,139.145,135.67101,138.92,83375000.0
2022-11-08,140.41,141.42999,137.49001,139.5,89908000.0
2022-11-09,138.5,138.55,134.59331,134.87,74918000.0
2022-11-10,141.24001,146.87,139.5,146.87,118854000.0
2022-11-11,145.82001,150.00999,144.37,149.7,93980000.0
2022-11-14,148.97,150.28,147.42999,148.28,73374000.0
2022-11-15,152.215,153.59,148.56129,150.03999,89868000.0
2022-11-16,149.13,149.87,147.28999,148.78999,64218000.0
2022-11-17,146.42999,151.48,146.14999,150.72,80389000.0
2022-11-18,152.30499,152.7,149.97,151.28999,74830000.0
2022-11-21,150.16,150.37,147.715,148.00999,58724000.0
2022-11-22,148.13,150.42,146.925,150.17999,51804000.0
2022-11-23,149.45,151.83,149.34,151.07001,58301000.0
2022-11-25,148.30499,148.88,147.12,148.11,35196000.0
2022-11-28,145.14,146.64,143.38,144.22,69347000.0
2022-11-29,144.28999,144.81,140.355,141.17,83764000.0
2022-11-30,141.395,148.72,140.55,148.03,111381000.0
2022-12-01,148.21001,149.13,146.61,148.31,71250000.0
2022-12-02,145.96001,148.0,145.64999,147.81,65447000.0
2022-12-05,147.77,150.91991,145.77,146.63,68393000.0
2022-12-06,147.075,147.3,141.92,142.91,64523000.0
2022-12-07,142.19,143.37,140.0,140.94,69514000.0
2022-12-08,142.36,143.52,141.10001,142.64999,61909000.0
2022-12-09,142.34,145.57001,140.89999,142.16,76097000.0
2022-12-12,142.7,144.5,141.06,144.49001,70306000.0
2022-12-13,149.5,149.96919,144.24001,145.47,93732000.0
2022-12-14,145.35001,146.655,141.16,143.21001,82291000.0
2022-12-15,141.11,141.8,136.02499,136.5,97253000.0
2022-12-16,136.685,137.64999,133.73,134.50999,160156992.0
2022-12-19,135.11,135.2,131.32001,132.37,79148000.0
2022-12-20,131.39,133.25,129.89,132.3,77083000.0
2022-12-21,132.98,136.81,132.75,135.45,85748000.0
2022-12-22,134.35201,134.56,130.3,132.23,77586000.0
2022-12-23,130.92,132.41499,129.64,131.86,63815000.0
2022-12-27,131.38,131.41,128.72,130.03,68750000.0
2022-12-28,129.67,131.0275,125.87,126.04,84904000.0
2022-12-29,127.99,130.4814,127.73,129.61,75476000.0
2022-12-30,128.41,129.95,127.43,129.92999,77034000.0
2023-01-03,130.28,130.89999,124.17,125.07,111678000.0
2023-01-04,126.89,128.6557,125.08,126.36,88463000.0
2023-01-05,127.13,127.77,124.76,125.02,79973000.0
2023-01-06,126.01,130.28999,124.89,129.62,87755000.0
2023-01-09,130.465,133.41,129.89,130.14999,70503000.0
2023-01-10,130.25999,131.2636,128.12,130.73,63428000.0
2023-01-11,131.25,133.50999,130.46001,133.49001,69120000.0
2023-01-12,133.88,134.25999,131.44,133.41,71249000.0
2023-01-13,132.03,134.92,131.66,134.75999,57810000.0
2023-01-17,134.83,137.28999,134.13,135.94,63420000.0
2023-01-18,136.815,138.61,135.03,135.21001,69673000.0
2023-01-19,134.08,136.25,133.77,135.27,58072000.0
